PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,Phase,Transported Prediction,Probability - Yes,Probability - No,Deck,Num,Side,Cabin_Category,Model Accuracy
0001_01,Europa,False,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,0.0,Existing Data,False,0.4556817,0.5443183,B,0.0,P,Cabin Category A,0.8831243529276429
0002_01,Earth,False,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,Juanna Vines,1.0,Existing Data,False,0.32857147,0.67142856,F,0.0,S,Cabin Category A,0.8831243529276429
0003_01,Europa,False,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,0.0,Existing Data,False,0.013097637,0.98690236,A,0.0,S,Cabin Category A,0.8831243529276429
0003_02,Europa,False,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,0.0,Existing Data,False,0.003934017,0.996066,A,0.0,S,Cabin Category A,0.8831243529276429
0004_01,Earth,False,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,Willy Santantines,1.0,Existing Data,False,0.49588016,0.5041199,F,1.0,S,Cabin Category A,0.8831243529276429
0005_01,Earth,False,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,1.0,Existing Data,True,0.56304777,0.43695223,F,0.0,P,Cabin Category A,0.8831243529276429
0006_01,Earth,False,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,1.0,Existing Data,True,0.886836,0.11316401,F,2.0,S,Cabin Category A,0.8831243529276429
0006_02,Earth,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,1.0,Existing Data,True,0.579214,0.42078602,G,0.0,S,Cabin Category A,0.8831243529276429
0007_01,Earth,False,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,Andona Beston,1.0,Existing Data,True,0.59369856,0.40630144,F,3.0,S,Cabin Category A,0.8831243529276429
0008_01,Europa,True,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,1.0,Existing Data,True,0.9894706,0.010529399,B,1.0,P,Cabin Category A,0.8831243529276429
0008_02,Europa,True,TRAPPIST-1e,34.0,False,0.0,0.0,0.0,0.0,0.0,Altardr Flatic,1.0,Existing Data,True,0.97694415,0.023055851,B,1.0,P,Cabin Category A,0.8831243529276429
